,name,details,ingredients
10,SOME BY MI - Bye Bye Blackhead 30days Miracle Green Tea Tox Bubble Cleanser - 120g,"Product Type: Cleansing Foam


Skin Concern: Acne, Blackheads, Dullness / Radiance, Oil Control/ Pores


Skin Type: Combination, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
11,Farm Stay - Char-Coal Pure Cleansing Foam - 180ml,"Product Type: Cleansing Foam


Skin Concern: Blackheads, Dryness/ Hydration, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
12,iUNIK - Calendula Complete Cleansing Oil - 200ml,"Product Type: Cleansing Oil


Skin Concern: Blackheads, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
13,Krave - Matcha Hemp Hydrating Cleanser 120ml,"Product Type: Cleansing Gel


Skin Concern: Acne, Anti-aging/ Wrinkles


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
14,COSRX - Low pH Good Morning Gel Cleanser - 150ml,"Cruelty Free: Yes


Product Type: Cleansing Gel


Skin Concern: Acne, Blackheads, Dryness/ Hydration, Irritation/ Calming, Sun Damage


Skin Type: Oily, Sensitive","Water, Cocamidopropyl Betaine, Sodium Lauroyl Methyl Isethionate, Polysorbate 20, Styrax Japonicus Branch/Fruit/Leaf Extract, Butylene Glycol, Saccharomyces Ferment, Cryptomeria Japonica Leaf Extract, Nelumbo Nucifera Leaf Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Pueraria Lobata Root Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Allantoin, Caprylyl Glycol, Ethylhexylglycerin, Betaine Salicylate, Citric Acid, Ethyl Hexanediol, 1,2-Hexanediol, Trisodium Ethylenediamine Disuccinate, Sodium Benzoate, Disodium EDTA"
15,heimish - All Clean Balm,"Cruelty Free: Yes


Product Type: Cleansing Balm


Product Unit: 120ml


Skin Concern: Acne, Blackheads, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Ethylhexyl Palmitate, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, Polyethylene, PEG-8 Isostearate, Shea Butter, Cocos Nucifera (Coconut) Fruit Extract, Lime Extract, Freesia Refracta Extract, Prunus Serrulata Flower Extract, Jasmine Extract, Lily Extract, Edelweiss Extract, Nelumbium Speciosum Flower Extract, Rose Extract, Orange Peel Extract, Lavender Oil, Pelargonium Graveolens Flower Oil, Amyris Balsamifera Bark Oil, Grapefruit Peel Oil, Eucalyptus Leaf Oil, Tea Tree Leaf Oil, Mexican Juniper Oil, Boswellia Carterii Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Tocopheryl Acetate, 1,2-Hexanediol"
16,SOME BY MI - AHA-BHA-PHA 30days Miracle Acne Clear Body Cleanser - 400g,"Product Type: Cleansing Water


Skin Concern: Acne, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily","Ethylhexyl Palmitate, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, Polyethylene, PEG-8 Isostearate, Shea Butter, Cocos Nucifera (Coconut) Fruit Extract, Lime Extract, Freesia Refracta Extract, Prunus Serrulata Flower Extract, Jasmine Extract, Lily Extract, Edelweiss Extract, Nelumbium Speciosum Flower Extract, Rose Extract, Orange Peel Extract, Lavender Oil, Pelargonium Graveolens Flower Oil, Amyris Balsamifera Bark Oil, Grapefruit Peel Oil, Eucalyptus Leaf Oil, Tea Tree Leaf Oil, Mexican Juniper Oil, Boswellia Carterii Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Tocopheryl Acetate, 1,2-Hexanediol"
17,Isntree - Micellar Washing Cleansing Water - 300ml,"Cruelty Free: Yes


Product Type: Cleansing Water


Product Unit: 300ml


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily","Water, Glycerin, Acer Saccharum (Sugar Maple) Sap, 1, 2-Hexanediol , Polyglyceryl-4 Caprate, Butylene Glycol, Lauryl Sodium Chloride"
18,BEAUTY OF JOSEON - Cleansing Balm - 80g,"Cruelty Free: Yes


Product Type: Cleansing Balm


Product Unit: 80g


Skin Concern: Dryness/ Hydration, Dullness / Radiance


Skin Type: Combination, Dry, Normal, Oily","Water, Glycerin, Acer Saccharum (Sugar Maple) Sap, 1, 2-Hexanediol , Polyglyceryl-4 Caprate, Butylene Glycol, Lauryl Sodium Chloride"
19,Haruharu WONDER - Black Rice Moisture Deep Cleansing Oil - 150ml,"Product Type: Cleansing Oil


Skin Type: Combination, Dry, Normal, Oily","Water, Glycerin, Acer Saccharum (Sugar Maple) Sap, 1, 2-Hexanediol , Polyglyceryl-4 Caprate, Butylene Glycol, Lauryl Sodium Chloride"
20,iUNIK - Centella Bubble Cleansing Foam - 150ml,"Product Type: Cleansing Foam


Skin Concern: Dark Circles, Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
21,heimish - All Clean Green Foam - 150ml,"Cruelty Free: Yes


Product Type: Cleansing Foam


Skin Concern: Irritation/ Calming, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
22,SOME BY MI - Bye Bye Blackhead 30days Miracle Green Tea Tox Bubble Cleanser - 120g,"Product Type: Cleansing Foam


Skin Concern: Acne, Blackheads, Dullness / Radiance, Oil Control/ Pores


Skin Type: Combination, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
23,Farm Stay - Char-Coal Pure Cleansing Foam - 180ml,"Product Type: Cleansing Foam


Skin Concern: Blackheads, Dryness/ Hydration, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
24,iUNIK - Calendula Complete Cleansing Oil - 200ml,"Product Type: Cleansing Oil


Skin Concern: Blackheads, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
25,Krave - Matcha Hemp Hydrating Cleanser 120ml,"Product Type: Cleansing Gel


Skin Concern: Acne, Anti-aging/ Wrinkles


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
26,COSRX - Low pH Good Morning Gel Cleanser - 150ml,"Cruelty Free: Yes


Product Type: Cleansing Gel


Skin Concern: Acne, Blackheads, Dryness/ Hydration, Irritation/ Calming, Sun Damage


Skin Type: Oily, Sensitive","Water, Cocamidopropyl Betaine, Sodium Lauroyl Methyl Isethionate, Polysorbate 20, Styrax Japonicus Branch/Fruit/Leaf Extract, Butylene Glycol, Saccharomyces Ferment, Cryptomeria Japonica Leaf Extract, Nelumbo Nucifera Leaf Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Pueraria Lobata Root Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Allantoin, Caprylyl Glycol, Ethylhexylglycerin, Betaine Salicylate, Citric Acid, Ethyl Hexanediol, 1,2-Hexanediol, Trisodium Ethylenediamine Disuccinate, Sodium Benzoate, Disodium EDTA"
27,heimish - All Clean Balm,"Cruelty Free: Yes


Product Type: Cleansing Balm


Product Unit: 120ml


Skin Concern: Acne, Blackheads, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Ethylhexyl Palmitate, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, Polyethylene, PEG-8 Isostearate, Shea Butter, Cocos Nucifera (Coconut) Fruit Extract, Lime Extract, Freesia Refracta Extract, Prunus Serrulata Flower Extract, Jasmine Extract, Lily Extract, Edelweiss Extract, Nelumbium Speciosum Flower Extract, Rose Extract, Orange Peel Extract, Lavender Oil, Pelargonium Graveolens Flower Oil, Amyris Balsamifera Bark Oil, Grapefruit Peel Oil, Eucalyptus Leaf Oil, Tea Tree Leaf Oil, Mexican Juniper Oil, Boswellia Carterii Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Tocopheryl Acetate, 1,2-Hexanediol"
28,SOME BY MI - AHA-BHA-PHA 30days Miracle Acne Clear Body Cleanser - 400g,"Product Type: Cleansing Water


Skin Concern: Acne, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily","Ethylhexyl Palmitate, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, Polyethylene, PEG-8 Isostearate, Shea Butter, Cocos Nucifera (Coconut) Fruit Extract, Lime Extract, Freesia Refracta Extract, Prunus Serrulata Flower Extract, Jasmine Extract, Lily Extract, Edelweiss Extract, Nelumbium Speciosum Flower Extract, Rose Extract, Orange Peel Extract, Lavender Oil, Pelargonium Graveolens Flower Oil, Amyris Balsamifera Bark Oil, Grapefruit Peel Oil, Eucalyptus Leaf Oil, Tea Tree Leaf Oil, Mexican Juniper Oil, Boswellia Carterii Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Tocopheryl Acetate, 1,2-Hexanediol"
29,Isntree - Micellar Washing Cleansing Water - 300ml,"Cruelty Free: Yes


Product Type: Cleansing Water


Product Unit: 300ml


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily","Water, Glycerin, Acer Saccharum (Sugar Maple) Sap, 1, 2-Hexanediol , Polyglyceryl-4 Caprate, Butylene Glycol, Lauryl Sodium Chloride"
30,BEAUTY OF JOSEON - Cleansing Balm - 80g,"Cruelty Free: Yes


Product Type: Cleansing Balm


Product Unit: 80g


Skin Concern: Dryness/ Hydration, Dullness / Radiance


Skin Type: Combination, Dry, Normal, Oily","Water, Glycerin, Acer Saccharum (Sugar Maple) Sap, 1, 2-Hexanediol , Polyglyceryl-4 Caprate, Butylene Glycol, Lauryl Sodium Chloride"
31,Haruharu WONDER - Black Rice Moisture Deep Cleansing Oil - 150ml,"Product Type: Cleansing Oil


Skin Type: Combination, Dry, Normal, Oily","Water, Glycerin, Acer Saccharum (Sugar Maple) Sap, 1, 2-Hexanediol , Polyglyceryl-4 Caprate, Butylene Glycol, Lauryl Sodium Chloride"
32,iUNIK - Centella Bubble Cleansing Foam - 150ml,"Product Type: Cleansing Foam


Skin Concern: Dark Circles, Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
33,heimish - All Clean Green Foam - 150ml,"Cruelty Free: Yes


Product Type: Cleansing Foam


Skin Concern: Irritation/ Calming, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
34,SOME BY MI - Bye Bye Blackhead 30days Miracle Green Tea Tox Bubble Cleanser - 120g,"Product Type: Cleansing Foam


Skin Concern: Acne, Blackheads, Dullness / Radiance, Oil Control/ Pores


Skin Type: Combination, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
35,Farm Stay - Char-Coal Pure Cleansing Foam - 180ml,"Product Type: Cleansing Foam


Skin Concern: Blackheads, Dryness/ Hydration, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
